date,itemName,mealTime,vegan,vegetarian,smartChoice,local,organic,madeWithoutGluten,halal,location
20,Waffle Bar,0,0,1,0,0,0,0,0,Chase
20,Apple Crumb Cake,0,1,1,0,0,0,0,0,Chase
20,Banana Nut Muffin,0,0,1,0,0,0,1,0,Chase
20,Blueberry Overnight Oats,0,1,1,0,0,0,0,0,Chase
20,Chocolate Croissant,0,0,1,0,0,0,0,0,Chase
20,Orange Muffin,0,0,1,0,0,0,0,0,Chase
20,Coffee Cake,0,0,1,0,0,0,0,0,Chase
20,Assorted Donuts,0,0,1,0,0,0,0,0,Chase
20,Chocolate Soft Serve Ice Cream,0,0,1,0,0,0,1,0,Chase
20,Vanilla Soft Serve Ice Cream,0,0,1,0,0,0,1,0,Chase
20,Oatmeal,0,1,1,1,0,0,0,0,Chase
20,Impossible Sausage Patty,0,1,1,0,0,0,1,0,Chase
20,Turkey Sausage Patty,0,0,0,0,0,0,1,0,Chase
20,Grits,0,1,1,1,0,0,1,0,Chase
20,Whole Wheat French Toast,0,0,1,1,0,0,0,0,Chase
20,Fried Tater Tots,0,1,1,0,0,0,1,0,Chase
20,Bacon,0,0,0,0,0,0,1,0,Chase
20,Scrambled Eggs,0,0,1,1,0,0,1,0,Chase
20,Tofu Florentine,0,1,1,1,0,0,1,0,Chase
20,Pork Sausage Gravy,0,0,0,0,0,0,1,0,Chase
20,Pancake Syrup ,0,1,1,0,0,0,1,0,Chase
20,Biscuits,0,0,1,0,0,0,0,0,Chase
20,Egg,0,0,1,1,0,0,1,0,Chase
20,Egg Whites,0,0,1,1,0,0,1,0,Chase
20,Bacon Bits,0,0,0,0,0,0,1,0,Chase
20,Baby Spinach,0,1,1,1,0,0,1,0,Chase
20,Shredded Mozzarella,0,0,1,0,0,0,1,0,Chase
20,Sliced Vermont Cheddar Cheese,0,0,1,0,0,0,1,0,Chase
20,Cheddar Cheese,0,0,1,0,0,0,1,0,Chase
20,Hash Brown Potato Patty,0,1,1,0,0,0,0,0,Chase
20,Frozen Strawberries,0,1,1,1,0,0,1,0,Chase
20,Peaches,0,1,1,1,0,0,1,0,Chase
20,Vanilla Greek Yogurt,0,0,1,0,0,0,1,0,Chase
20,Blueberries,0,1,1,1,0,0,1,0,Chase
20,Sliced Bananas,0,1,1,1,0,0,1,0,Chase
20,Frozen Pineapple Cubes,0,1,1,1,0,0,1,0,Chase
20,Frozen Mango ,0,1,1,1,0,0,1,0,Chase
20,Baby Spinach,0,1,1,1,0,0,1,0,Chase
20,100% Apple Juice,0,1,1,0,0,0,1,0,Chase
20,100% Orange Juice,0,1,1,1,0,0,1,0,Chase
20,Low Fat Cottage Cheese,0,0,1,1,0,0,1,0,Chase
20,Strawberry Yogurt,0,0,1,1,0,0,1,0,Chase
20,Vanilla Yogurt,0,0,1,1,0,0,1,0,Chase
20,Applesauce,0,1,1,1,0,0,1,0,Chase
20,Grapes,0,1,1,1,0,0,1,0,Chase
20,Pineapple,0,1,1,1,0,0,1,0,Chase
20,Honey Dew,0,1,1,1,0,0,1,0,Chase
20,Cantaloupe,0,1,1,1,0,0,1,0,Chase
20,Raisins,0,1,1,1,0,0,1,0,Chase
20,Brown Sugar,0,1,1,0,0,0,1,0,Chase
20,Schar Ciabatta Roll,0,1,1,0,0,0,1,0,Chase
20,JP's Brownie,0,1,1,0,0,0,1,0,Chase
20,JP's GF Hawaiian Rolls,0,0,1,0,0,0,1,0,Chase
20,JP's GF Vegan Chocolate Cupcake,0,1,1,0,0,0,1,0,Chase
20,JP's Gluten-Free Blueberry Muffins,0,0,0,0,0,0,1,0,Chase
20,JP's Key Lime Cheesecake Bar,0,0,1,0,0,0,1,0,Chase
20,Katz Powdered Donut Holes,0,0,1,0,0,0,1,0,Chase
