,date,itemName,mealTime,vegan,vegetarian,smartChoice,local,organic,madeWithoutGluten,halal
0,2023-02-11,Waffle Bar,0,0,1,0,0,0,0,0
1,2023-02-11,Vegan Coffee Cake,0,1,1,0,0,0,0,0
2,2023-02-11,Honey Nut Loaf,0,0,1,0,0,0,1,0
3,2023-02-11,Croissant,0,0,1,0,0,0,0,0
4,2023-02-11,Assorted Danishes ,0,0,1,0,0,0,0,0
5,2023-02-11,Apricot Quick Bread,0,0,1,0,0,0,0,0
6,2023-02-11,Assorted Donuts,0,0,1,0,0,0,0,0
7,2023-02-11,Blueberry Muffin,0,0,1,0,0,0,0,0
8,2023-02-11,Vanilla Soft Serve Ice Cream,0,0,1,0,0,0,1,0
9,2023-02-11,Chocolate Soft Serve Ice Cream,0,0,1,0,0,0,1,0
10,2023-02-11,Scrambled Eggs,0,0,1,1,0,0,1,0
11,2023-02-11,Pork Sausage Gravy,0,0,0,0,0,0,1,0
12,2023-02-11,Bacon,0,0,0,0,0,0,1,0
13,2023-02-11,Sausage Links,0,0,0,0,0,0,1,0
14,2023-02-11,Breakfast Potatoes,0,1,1,0,0,0,1,0
15,2023-02-11,Grits,0,1,1,1,0,0,1,0
16,2023-02-11,Biscuits,0,0,1,0,0,0,0,0
17,2023-02-11,Buttermilk Pancakes,0,0,1,0,0,0,0,0
18,2023-02-11,Pancake Syrup ,0,1,1,0,0,0,1,0
19,2023-02-11,Oatmeal,0,1,1,1,0,0,0,0
20,2023-02-11,Low Fat Cottage Cheese,0,0,1,1,0,0,1,0
21,2023-02-11,Strawberry Yogurt,0,0,1,1,0,0,1,0
22,2023-02-11,Vanilla Yogurt,0,0,1,1,0,0,1,0
23,2023-02-11,Applesauce,0,1,1,1,0,0,1,0
24,2023-02-11,Grapes,0,1,1,1,0,0,1,0
25,2023-02-11,Pineapple,0,1,1,1,0,0,1,0
26,2023-02-11,Honey Dew,0,1,1,1,0,0,1,0
27,2023-02-11,Cantaloupe,0,1,1,1,0,0,1,0
28,2023-02-11,Raisins,0,1,1,1,0,0,1,0
29,2023-02-11,Brown Sugar,0,1,1,0,0,0,1,0
30,2023-02-11,Schar Ciabatta Roll,0,1,1,0,0,0,1,0
31,2023-02-11,JP's Brownie,0,1,1,0,0,0,1,0
32,2023-02-11,JP's GF Hawaiian Rolls,0,0,1,0,0,0,1,0
33,2023-02-11,JP's GF Vegan Chocolate Cupcake,0,1,1,0,0,0,1,0
34,2023-02-11,JP's Gluten-Free Blueberry Muffins,0,0,0,0,0,0,1,0
35,2023-02-11,JP's Key Lime Cheesecake Bar,0,0,1,0,0,0,1,0
36,2023-02-11,Katz Powdered Donut Holes,0,0,1,0,0,0,1,0
37,2023-02-11,Katz Cinnamon Donut Hole,0,0,1,0,0,0,1,0
38,2023-02-11,Katz Glazed Donut Holes,0,0,1,0,0,0,1,0
39,2023-02-11,Katz Oatmeal Creme Pie,0,0,1,0,0,0,1,0
40,2023-02-11,Kinnikinnick Birthday Cream Sandwich Cookie,0,1,1,0,0,0,1,0
41,2023-02-11,Kinnikinnick Mint Magic Sandwich Creme Cookies,0,1,1,0,0,0,1,0
42,2023-02-11,Kinnikinnick Cinnabun Fun Sandwich Creme Cookies,0,1,1,0,0,0,1,0
43,2023-02-11,Kinnikinnick Chocolate Sandwich Creme Cookies,0,1,1,0,0,0,1,0
44,2023-02-11,Kinnikinnick Cinnamon Sugar Donuts,0,0,1,0,0,0,1,0
45,2023-02-11,Kinnikinnick Vanilla Glazed Donuts,0,0,1,0,0,0,1,0
46,2023-02-11,O'Doughs Original Bagel,0,1,1,0,0,0,1,0
47,2023-02-11,O'doughs Everything Bagel,0,1,1,0,0,0,1,0
48,2023-02-11,O'Doughs Pumpernickel Bagel,0,1,1,0,0,0,1,0
49,2023-02-11,O'Doughs Original Sandwich Slices,0,1,1,0,0,0,1,0
50,2023-02-11,O'Doughs Multigrain Sandwich Slices,0,1,1,0,0,0,1,0
51,2023-02-11,Ranch,0,0,1,0,0,0,1,0
52,2023-02-11,Ketchup,0,1,1,0,0,0,1,0
53,2023-02-11,BBQ Sauce,0,1,1,0,0,0,1,0
54,2023-02-11,Sriracha Sauce,0,1,1,0,0,0,1,0
55,2023-02-11,Texas Pete Hot Sauce,0,1,1,1,0,0,1,0
56,2023-02-11,Mayonnaise,0,0,1,0,0,0,1,0
57,2023-02-11,Yellow Mustard,0,1,1,1,0,0,1,0
58,2023-02-11,Vegetable Cream Cheese,0,0,1,0,0,0,1,0
59,2023-02-11,Margarine,0,1,1,0,0,0,1,0
60,2023-02-11,Oil and Vinegar,0,1,1,1,0,0,1,0
61,2023-02-11,Tabasco Hot Sauce,0,1,1,1,0,0,1,0
62,2023-02-11,Grape Jelly,0,1,1,0,0,0,1,0
63,2023-02-11,Strawberry Jelly,0,1,1,0,0,0,1,0
64,2023-02-11,Peanut Butter,0,1,1,0,0,0,1,0
65,2023-02-11,Plain Cream Cheese Spread,0,0,1,0,0,0,1,0
66,2023-02-11,Strawberry Cream Cheese,0,0,1,0,0,0,1,0
67,2023-02-11,Chives and Onion Cream Cheese,0,0,1,1,0,0,1,0
68,2023-02-11,Plain Bagel,0,0,1,0,0,0,0,0
69,2023-02-11,Everything Bagel,0,0,1,0,0,0,0,0
70,2023-02-11,Blueberry Bagel,0,0,1,0,0,0,0,0
71,2023-02-11,Cheese Bagel,0,0,1,0,0,0,0,0
72,2023-02-11,Multigrain Bagel,0,1,1,0,0,0,0,0
73,2023-02-11,Rye Bread Slice,0,1,1,0,0,0,0,0
74,2023-02-11,Multigrain Bread,0,0,1,0,0,0,0,0
75,2023-02-11,Wheat Bread Slice,0,1,1,1,0,0,0,0
76,2023-02-11,Kaiser Roll,0,0,1,0,0,0,0,0
77,2023-02-11,Hoagie Roll,0,0,1,0,0,0,0,0
78,2023-02-11,100% Cranberry Juice,0,1,1,0,0,0,1,0
79,2023-02-11,Seasonal Hot Cocoa,0,0,1,0,0,0,1,0
80,2023-02-11,Seasonal Apple Cider,0,1,1,0,1,0,1,0
81,2023-02-11,Maola Whole Milk,0,0,1,0,0,0,1,0
82,2023-02-11,Maola 2% Reduced Fat Milk,0,0,1,0,0,0,1,0
83,2023-02-11,Maola Skim Milk,0,0,1,0,0,0,1,0
84,2023-02-11,Maola 1% Chocolate Milk,0,0,1,0,0,0,1,0
85,2023-02-11,100% Apple Juice,0,1,1,0,0,0,1,0
86,2023-02-11,100% Orange Juice,0,1,1,1,0,0,1,0
87,2023-02-11,Strawberry Kiwi Juice,0,1,1,0,0,0,1,0
88,2023-02-11,Larry's Coffee,0,1,1,1,1,1,1,0
