date,itemName,mealTime,vegan,vegetarian,smartChoice,local,organic,madeWithoutGluten,halal,location
19,Waffle Bar,continental,0,1,0,0,0,0,0,Lenoir
19,JP's Gluten-Free Blueberry Muffins,dinner,0,0,0,0,0,1,0,Chase
19,JP's Key Lime Cheesecake Bar,dinner,0,1,0,0,0,1,0,Chase
19,Katz Powdered Donut Holes,dinner,0,1,0,0,0,1,0,Chase
19,Katz Cinnamon Donut Hole,dinner,0,1,0,0,0,1,0,Chase
19,Katz Glazed Donut Holes,dinner,0,1,0,0,0,1,0,Chase
19,Katz Oatmeal Creme Pie,dinner,0,1,0,0,0,1,0,Chase
19,Kinnikinnick Birthday Cream Sandwich Cookie,dinner,1,1,0,0,0,1,0,Chase
19,Kinnikinnick Mint Magic Sandwich Creme Cookies,dinner,1,1,0,0,0,1,0,Chase
19,Kinnikinnick Cinnabun Fun Sandwich Creme Cookies,dinner,1,1,0,0,0,1,0,Chase
19,JP's GF Vegan Chocolate Cupcake,dinner,1,1,0,0,0,1,0,Chase
19,Kinnikinnick Chocolate Sandwich Creme Cookies,dinner,1,1,0,0,0,1,0,Chase
19,Kinnikinnick Vanilla Glazed Donuts,dinner,0,1,0,0,0,1,0,Chase
19,O'Doughs Original Bagel,dinner,1,1,0,0,0,1,0,Chase
19,O'doughs Everything Bagel,dinner,1,1,0,0,0,1,0,Chase
19,O'Doughs Pumpernickel Bagel,dinner,1,1,0,0,0,1,0,Chase
19,O'Doughs Original Sandwich Slices,dinner,1,1,0,0,0,1,0,Chase
19,O'Doughs Multigrain Sandwich Slices,dinner,1,1,0,0,0,1,0,Chase
19,Apple Jacks,dinner,0,1,0,0,0,0,0,Chase
19,Cinnamon Toast Crunch,dinner,0,1,0,0,0,0,0,Chase
19,Frosted Flakes,dinner,0,1,0,0,0,0,0,Chase
19,Kinnikinnick Cinnamon Sugar Donuts,dinner,0,1,0,0,0,1,0,Chase
19,JP's GF Hawaiian Rolls,dinner,0,1,0,0,0,1,0,Chase
19,JP's Brownie,dinner,1,1,0,0,0,1,0,Chase
19,Schar Ciabatta Roll,dinner,1,1,0,0,0,1,0,Chase
19,Bacon Bits,dinner,0,0,0,0,0,1,0,Chase
19,Green Peppers,dinner,1,1,1,0,0,1,0,Chase
19,Beets,dinner,1,1,1,0,0,1,0,Chase
19,Sliced Red Onion,dinner,1,1,1,0,0,1,0,Chase
19,Shredded Carrots,dinner,1,1,1,0,0,1,0,Chase
19,Sliced Cucumber,dinner,1,1,1,0,0,1,0,Chase
19,Grape Tomatoes,dinner,1,1,1,0,0,1,0,Chase
19,Black Olives,dinner,1,1,1,0,0,1,0,Chase
19,Spring Salad Mix,dinner,1,1,1,1,0,1,0,Chase
19,Baby Spinach,dinner,1,1,1,0,0,1,0,Chase
19,Iceberg Lettuce,dinner,1,1,1,0,0,1,0,Chase
19,Croutons,dinner,0,1,0,0,0,0,0,Chase
19,Sunflower Seeds,dinner,1,1,1,0,0,1,0,Chase
19,Craisins,dinner,1,1,1,0,0,1,0,Chase
19,Ranch Dressing,dinner,0,1,0,0,0,1,0,Chase
19,Fat-Free Italian Dressing,dinner,1,1,0,0,0,1,0,Chase
19,Fat-Free French Dressing,dinner,1,1,0,0,0,1,0,Chase
19,Balsamic Vinaigrette,dinner,1,1,0,0,0,1,0,Chase
19,Honey Mustard Dressing,dinner,0,1,0,0,0,1,0,Chase
19,Blue Cheese Dressing,dinner,0,1,0,0,0,1,0,Chase
19,Caesar Dressing,dinner,0,0,0,0,0,1,0,Chase
19,Cocoa Puffs,dinner,0,1,0,0,0,0,0,Chase
19,Lucky Charms,dinner,0,0,0,0,0,0,0,Chase
19,Krave Chocolate Cereal,dinner,0,1,0,0,0,0,0,Chase
19,Cheerios,dinner,0,1,1,0,0,1,0,Chase
19,Fudge Brownie,4,0,1,0,0,0,0,0,Chase
19,Chocolate Soft Serve Ice Cream,4,0,1,0,0,0,1,0,Chase
19,Vanilla Soft Serve Ice Cream,4,0,1,0,0,0,1,0,Chase
19,Avocado Jalapeno Turkey Burger,4,0,0,0,0,0,0,0,Chase
19,Black Bean Burger Patty,4,0,1,1,0,0,0,0,Chase
19,Garden Burger Patty,4,0,1,1,0,0,0,0,Chase
19,Shoestring Fries,4,1,1,0,0,0,0,0,Chase
19,Udi's Gluten-Free Hamburger Bun,4,0,1,0,0,0,1,0,Chase
19,Hamburger Bun,4,1,1,0,0,0,0,0,Chase
19,Vegan Cheddar Cheese,4,1,1,0,0,0,0,0,Chase
19,Classic Cheese Pizza,4,0,1,0,0,0,0,0,Chase
19,Classic Pepperoni Pizza,4,0,0,0,0,0,0,0,Chase
19,Cheese Bread ,4,0,1,0,0,0,0,0,Chase
19,Strawberries,4,1,1,1,0,0,1,0,Chase
19,Lite Italian Dressing,4,1,1,0,0,0,1,0,Chase
19,Thousand Island Dressing,4,0,1,0,0,0,1,0,Chase
19,Kidney Beans,4,1,1,1,0,0,1,0,Chase
19,Low Fat Cottage Cheese,4,0,1,1,0,0,1,0,Chase
19,Diced Chicken,4,0,0,1,0,0,0,0,Chase
19,Vanilla Yogurt,4,0,1,1,0,0,1,0,Chase
19,Strawberry Yogurt,4,0,1,1,0,0,1,0,Chase
19,Rice Krispie Treats,4,0,0,0,0,0,0,0,Chase
19,Hard Boiled Eggs,dinner,0,1,0,0,0,0,0,Chase
19,Assorted Cookies,4,0,1,0,0,0,0,0,Chase
19,Brisk Green Tea Peach,dinner,1,1,0,0,0,0,0,Chase
19,Raisin Bran,dinner,0,1,0,0,0,0,0,Chase
19,Froot Loops,dinner,0,1,0,0,0,0,0,Chase
19,Oats and Honey Granola,dinner,0,1,0,0,0,0,0,Chase
19,Ranch,dinner,0,1,0,0,0,1,0,Chase
19,BBQ Sauce,dinner,1,1,0,0,0,1,0,Chase
19,Sriracha Sauce,dinner,1,1,0,0,0,1,0,Chase
19,Vegetable Cream Cheese,dinner,0,1,0,0,0,1,0,Chase
19,Tabasco Hot Sauce,dinner,1,1,1,0,0,1,0,Chase
19,Peanut Butter,dinner,1,1,0,0,0,1,0,Chase
19,Plain Bagel,dinner,0,1,0,0,0,0,0,Chase
19,Everything Bagel,dinner,0,1,0,0,0,0,0,Chase
19,Blueberry Bagel,dinner,0,1,0,0,0,0,0,Chase
19,Cheese Bagel,dinner,0,1,0,0,0,0,0,Chase
19,Multigrain Bagel,dinner,1,1,0,0,0,0,0,Chase
19,Rye Bread Slice,dinner,1,1,0,0,0,0,0,Chase
19,Multigrain Bread,dinner,0,1,0,0,0,0,0,Chase
19,Wheat Bread Slice,dinner,1,1,1,0,0,0,0,Chase
19,Kaiser Roll,dinner,0,1,0,0,0,0,0,Chase
19,Hoagie Roll,dinner,0,1,0,0,0,0,0,Chase
19,Larry's Coffee,dinner,1,1,1,1,1,1,0,Chase
19,Larry's Decaf Coffee,dinner,1,1,1,1,1,1,0,Chase
19,Waffle Bar,4,0,1,0,0,0,0,0,Chase
19,Applesauce,4,1,1,1,0,0,1,0,Chase
19,Garbanzo Beans,dinner,1,1,1,0,0,1,0,Chase
19,Quinoa,dinner,1,1,1,0,0,1,0,Chase
