date,itemName,mealTime,vegan,vegetarian,smartChoice,local,organic,madeWithoutGluten,halal,location
21,Waffle Bar,0,0,1,0,0,0,0,0,Chase
21,Blueberry Muffin,0,0,1,0,0,0,1,0,Chase
21,Vegan Chocolate Banana Bread,0,1,1,0,0,0,0,0,Chase
21,Cinnamon Rolls,0,0,1,0,0,0,0,0,Chase
21,Lemon Poppyseed Muffin,0,0,1,0,0,0,0,0,Chase
21,Cruffins,0,0,1,0,0,0,0,0,Chase
21,Assorted Donuts,0,0,1,0,0,0,0,0,Chase
21,Chocolate Soft Serve Ice Cream,0,0,1,0,0,0,1,0,Chase
21,Vanilla Soft Serve Ice Cream,0,0,1,0,0,0,1,0,Chase
21,Oatmeal,0,1,1,1,0,0,0,0,Chase
21,Pancake Syrup ,0,1,1,0,0,0,1,0,Chase
21,Breakfast Vegetable Fried Rice,0,0,1,0,0,0,0,0,Chase
21,Impossible Sausage Patty,0,1,1,0,0,0,1,0,Chase
21,Grits,0,1,1,1,0,0,1,0,Chase
21,Buttermilk Pancakes,0,0,1,0,0,0,0,0,Chase
21,Fried Tater Tots,0,1,1,0,0,0,1,0,Chase
21,Breakfast Sausage,0,0,0,0,0,0,1,0,Chase
21,Scrambled Eggs,0,0,1,1,0,0,1,0,Chase
21,Pork Sausage Gravy,0,0,0,0,0,0,1,0,Chase
21,Biscuits,0,0,1,0,0,0,0,0,Chase
21,Egg Shelled,0,0,1,0,1,0,0,0,Chase
21,Hash Brown Potato Patty,0,1,1,0,0,0,0,0,Chase
21,Turkey Sausage Patty,0,0,0,0,0,0,1,0,Chase
21,Bacon,0,0,0,0,0,0,1,0,Chase
21,Sliced Ham,0,0,0,0,0,0,1,0,Chase
21,Sliced Cheddar Cheese,0,0,1,0,0,0,1,0,Chase
21,Hamburger Bun,0,1,1,0,0,0,0,0,Chase
21,Frozen Strawberries,0,1,1,1,0,0,1,0,Chase
21,Peaches,0,1,1,1,0,0,1,0,Chase
21,Vanilla Greek Yogurt,0,0,1,0,0,0,1,0,Chase
21,Blueberries,0,1,1,1,0,0,1,0,Chase
21,Sliced Bananas,0,1,1,1,0,0,1,0,Chase
21,Frozen Pineapple Cubes,0,1,1,1,0,0,1,0,Chase
21,Frozen Mango ,0,1,1,1,0,0,1,0,Chase
21,Baby Spinach,0,1,1,1,0,0,1,0,Chase
21,100% Apple Juice,0,1,1,0,0,0,1,0,Chase
21,100% Orange Juice,0,1,1,1,0,0,1,0,Chase
21,Low Fat Cottage Cheese,0,0,1,1,0,0,1,0,Chase
21,Strawberry Yogurt,0,0,1,1,0,0,1,0,Chase
21,Vanilla Yogurt,0,0,1,1,0,0,1,0,Chase
21,Applesauce,0,1,1,1,0,0,1,0,Chase
21,Grapes,0,1,1,1,0,0,1,0,Chase
21,Pineapple,0,1,1,1,0,0,1,0,Chase
21,Honey Dew,0,1,1,1,0,0,1,0,Chase
21,Cantaloupe,0,1,1,1,0,0,1,0,Chase
21,Raisins,0,1,1,1,0,0,1,0,Chase
21,Brown Sugar,0,1,1,0,0,0,1,0,Chase
21,Schar Ciabatta Roll,0,1,1,0,0,0,1,0,Chase
21,JP's Brownie,0,1,1,0,0,0,1,0,Chase
21,JP's GF Hawaiian Rolls,0,0,1,0,0,0,1,0,Chase
