,itemName,mealTime,vegan,vegetarian,smartChoice,local,organic,sustainableSeafood,madeWithoutGluten,halal
0,Waffle Bar,0,0,0,0,0,0,0,0,0
1,Vegan Coffee Cake,0,0,0,0,0,0,0,0,0
2,Honey Nut Loaf,0,0,0,0,0,0,0,0,0
3,Croissant,0,0,0,0,0,0,0,0,0
4,Assorted Danishes ,0,0,0,0,0,0,0,0,0
5,Apricot Quick Bread,0,0,0,0,0,0,0,0,0
6,Assorted Donuts,0,0,0,0,0,0,0,0,0
7,Blueberry Muffin,0,0,0,0,0,0,0,0,0
8,Vanilla Soft Serve Ice Cream,0,0,0,0,0,0,0,0,0
9,Chocolate Soft Serve Ice Cream,0,0,0,0,0,0,0,0,0
10,Scrambled Eggs,0,0,0,0,0,0,0,0,0
11,Pork Sausage Gravy,0,0,0,0,0,0,0,0,0
12,Bacon,0,0,0,0,0,0,0,0,0
13,Sausage Links,0,0,0,0,0,0,0,0,0
14,Breakfast Potatoes,0,0,0,0,0,0,0,0,0
15,Grits,0,0,0,0,0,0,0,0,0
16,Biscuits,0,0,0,0,0,0,0,0,0
17,Buttermilk Pancakes,0,0,0,0,0,0,0,0,0
18,Pancake Syrup ,0,0,0,0,0,0,0,0,0
19,Oatmeal,0,0,0,0,0,0,0,0,0
20,Low Fat Cottage Cheese,0,0,0,0,0,0,0,0,0
21,Strawberry Yogurt,0,0,0,0,0,0,0,0,0
22,Vanilla Yogurt,0,0,0,0,0,0,0,0,0
23,Applesauce,0,0,0,0,0,0,0,0,0
24,Grapes,0,0,0,0,0,0,0,0,0
25,Pineapple,0,0,0,0,0,0,0,0,0
26,Honey Dew,0,0,0,0,0,0,0,0,0
27,Cantaloupe,0,0,0,0,0,0,0,0,0
28,Raisins,0,0,0,0,0,0,0,0,0
29,Brown Sugar,0,0,0,0,0,0,0,0,0
30,Schar Ciabatta Roll,0,0,0,0,0,0,0,0,0
31,JP's Brownie,0,0,0,0,0,0,0,0,0
32,JP's GF Hawaiian Rolls,0,0,0,0,0,0,0,0,0
33,JP's GF Vegan Chocolate Cupcake,0,0,0,0,0,0,0,0,0
34,JP's Gluten-Free Blueberry Muffins,0,0,0,0,0,0,0,0,0
35,JP's Key Lime Cheesecake Bar,0,0,0,0,0,0,0,0,0
36,Katz Powdered Donut Holes,0,0,0,0,0,0,0,0,0
37,Katz Cinnamon Donut Hole,0,0,0,0,0,0,0,0,0
38,Katz Glazed Donut Holes,0,0,0,0,0,0,0,0,0
39,Katz Oatmeal Creme Pie,0,0,0,0,0,0,0,0,0
40,Kinnikinnick Birthday Cream Sandwich Cookie,0,0,0,0,0,0,0,0,0
41,Kinnikinnick Mint Magic Sandwich Creme Cookies,0,0,0,0,0,0,0,0,0
42,Kinnikinnick Cinnabun Fun Sandwich Creme Cookies,0,0,0,0,0,0,0,0,0
43,Kinnikinnick Chocolate Sandwich Creme Cookies,0,0,0,0,0,0,0,0,0
44,Kinnikinnick Cinnamon Sugar Donuts,0,0,0,0,0,0,0,0,0
45,Kinnikinnick Vanilla Glazed Donuts,0,0,0,0,0,0,0,0,0
46,O'Doughs Original Bagel,0,0,0,0,0,0,0,0,0
47,O'doughs Everything Bagel,0,0,0,0,0,0,0,0,0
48,O'Doughs Pumpernickel Bagel,0,0,0,0,0,0,0,0,0
49,O'Doughs Original Sandwich Slices,0,0,0,0,0,0,0,0,0
50,O'Doughs Multigrain Sandwich Slices,0,0,0,0,0,0,0,0,0
51,Ranch,0,0,0,0,0,0,0,0,0
52,Ketchup,0,0,0,0,0,0,0,0,0
53,BBQ Sauce,0,0,0,0,0,0,0,0,0
54,Sriracha Sauce,0,0,0,0,0,0,0,0,0
55,Texas Pete Hot Sauce,0,0,0,0,0,0,0,0,0
56,Mayonnaise,0,0,0,0,0,0,0,0,0
57,Yellow Mustard,0,0,0,0,0,0,0,0,0
58,Vegetable Cream Cheese,0,0,0,0,0,0,0,0,0
59,Margarine,0,0,0,0,0,0,0,0,0
60,Oil and Vinegar,0,0,0,0,0,0,0,0,0
61,Tabasco Hot Sauce,0,0,0,0,0,0,0,0,0
62,Grape Jelly,0,0,0,0,0,0,0,0,0
63,Strawberry Jelly,0,0,0,0,0,0,0,0,0
64,Peanut Butter,0,0,0,0,0,0,0,0,0
65,Plain Cream Cheese Spread,0,0,0,0,0,0,0,0,0
66,Strawberry Cream Cheese,0,0,0,0,0,0,0,0,0
67,Chives and Onion Cream Cheese,0,0,0,0,0,0,0,0,0
68,Plain Bagel,0,0,0,0,0,0,0,0,0
69,Everything Bagel,0,0,0,0,0,0,0,0,0
70,Blueberry Bagel,0,0,0,0,0,0,0,0,0
71,Cheese Bagel,0,0,0,0,0,0,0,0,0
72,Multigrain Bagel,0,0,0,0,0,0,0,0,0
73,Rye Bread Slice,0,0,0,0,0,0,0,0,0
74,Multigrain Bread,0,0,0,0,0,0,0,0,0
75,Wheat Bread Slice,0,0,0,0,0,0,0,0,0
76,Kaiser Roll,0,0,0,0,0,0,0,0,0
77,Hoagie Roll,0,0,0,0,0,0,0,0,0
78,100% Cranberry Juice,0,0,0,0,0,0,0,0,0
79,Seasonal Hot Cocoa,0,0,0,0,0,0,0,0,0
80,Seasonal Apple Cider,0,0,0,0,0,0,0,0,0
81,Maola Whole Milk,0,0,0,0,0,0,0,0,0
82,Maola 2% Reduced Fat Milk,0,0,0,0,0,0,0,0,0
83,Maola Skim Milk,0,0,0,0,0,0,0,0,0
84,Maola 1% Chocolate Milk,0,0,0,0,0,0,0,0,0
85,100% Apple Juice,0,0,0,0,0,0,0,0,0
86,100% Orange Juice,0,0,0,0,0,0,0,0,0
87,Strawberry Kiwi Juice,0,0,0,0,0,0,0,0,0
88,Larry's Coffee,0,0,0,0,0,0,0,0,0
89,Larry's Decaf Coffee,0,0,0,0,0,0,0,0,0
90,Southern Unsweet Tea,0,0,0,0,0,0,0,0,0
91,Southern Sweet Tea,0,0,0,0,0,0,0,0,0
92,Chocolate Soymilk,0,0,0,0,0,0,0,0,0
93,Vanilla Soymilk,0,0,0,0,0,0,0,0,0
94,Dr. Pepper,0,0,0,0,0,0,0,0,0
95,Diet Dr. Pepper,0,0,0,0,0,0,0,0,0
96,Root Beer,0,0,0,0,0,0,0,0,0
97,Sunkist Orange,0,0,0,0,0,0,0,0,0
98,Sierra Mist,0,0,0,0,0,0,0,0,0
99,Tropicana Lemonade,0,0,0,0,0,0,0,0,0
100,Tropicana Fruit Punch,0,0,0,0,0,0,0,0,0
101,Mountain Dew,0,0,0,0,0,0,0,0,0
102,Diet Mountain Dew,0,0,0,0,0,0,0,0,0
103,SoBe Lifewater Pomegranate,0,0,0,0,0,0,0,0,0
104,Brisk Green Tea Peach,0,0,0,0,0,0,0,0,0
105,Cheerwine,0,0,0,0,0,0,0,0,0
106,Diet Pepsi,0,0,0,0,0,0,0,0,0
107,Pepsi,0,0,0,0,0,0,0,0,0
108,Gatorade Fruit Punch,0,0,0,0,0,0,0,0,0
109,Gatorade Orange,0,0,0,0,0,0,0,0,0
110,Waffle Bar,1,0,0,0,0,0,0,0,0
111,Vegan Coffee Cake,1,0,0,0,0,0,0,0,0
112,Honey Nut Loaf,1,0,0,0,0,0,0,0,0
113,Croissant,1,0,0,0,0,0,0,0,0
114,Assorted Danishes ,1,0,0,0,0,0,0,0,0
115,Apricot Quick Bread,1,0,0,0,0,0,0,0,0
116,Assorted Donuts,1,0,0,0,0,0,0,0,0
117,Blueberry Muffin,1,0,0,0,0,0,0,0,0
118,Vanilla Soft Serve Ice Cream,1,0,0,0,0,0,0,0,0
119,Chocolate Soft Serve Ice Cream,1,0,0,0,0,0,0,0,0
120,Herbed Grilled Pork Chop,1,0,0,0,0,0,0,0,0
121,Potato Hash,1,0,0,0,0,0,0,0,0
122,Steamed Whole Green Beans,1,0,0,0,0,0,0,0,0
123,Roasted Apples,1,0,0,0,0,0,0,0,0
124,Scrambled Eggs,1,0,0,0,0,0,0,0,0
125,Pork Sausage Gravy,1,0,0,0,0,0,0,0,0
126,Bacon,1,0,0,0,0,0,0,0,0
127,Sausage Links,1,0,0,0,0,0,0,0,0
128,Breakfast Potatoes,1,0,0,0,0,0,0,0,0
129,Grits,1,0,0,0,0,0,0,0,0
130,Biscuits,1,0,0,0,0,0,0,0,0
131,Buttermilk Pancakes,1,0,0,0,0,0,0,0,0
132,Pancake Syrup ,1,0,0,0,0,0,0,0,0
133,Oatmeal,1,0,0,0,0,0,0,0,0
134,Chorizo Breakfast Bowl,1,0,0,0,0,0,0,0,0
135,Vegetarian Chorizo Breakfast Bowl,1,0,0,0,0,0,0,0,0
136,Maple Soy Glazed Crispy Tofu,1,0,0,0,0,0,0,0,0
137,Steamed Broccoli ,1,0,0,0,0,0,0,0,0
138,Basmati Rice,1,0,0,0,0,0,0,0,0
139,Vegan Mango Pancakes,1,0,0,0,0,0,0,0,0
140,Basmati Rice,1,0,0,0,0,0,0,0,0
141,JUST Egg Scramble,1,0,0,0,0,0,0,0,0
142,Spicy Shrimp & Cheddar Grits,1,0,0,0,0,0,0,0,0
143,Vegan Cheese Pizza,1,0,0,0,0,0,0,0,0
144,Classic Pepperoni Pizza,1,0,0,0,0,0,0,0,0
145,Cheese Bread ,1,0,0,0,0,0,0,0,0
146,Classic Cheese Pizza,1,0,0,0,0,0,0,0,0
147,White Chicken Chili,1,0,0,0,0,0,0,0,0
148,Tuscan Minestrone Soup,1,0,0,0,0,0,0,0,0
149,White Bread ,1,0,0,0,0,0,0,0,0
150,Udi's Multigrain Bread,1,0,0,0,0,0,0,0,0
151,Udi's White Bread,1,0,0,0,0,0,0,0,0
152,Multigrain Bread,1,0,0,0,0,0,0,0,0
153,Wheat Bread Slice,1,0,0,0,0,0,0,0,0
154,Sourdough ,1,0,0,0,0,0,0,0,0
155,Hoagie Roll,1,0,0,0,0,0,0,0,0
156,12' Assorted Wraps,1,0,0,0,0,0,0,0,0
157,Vegan American Sliced Cheese,1,0,0,0,0,0,0,0,0
158,Sliced Ham,1,0,0,0,0,0,0,0,0
159,Sliced Roast Beef,1,0,0,0,0,0,0,0,0
160,Sliced Turkey,1,0,0,0,0,0,0,0,0
161,Sliced Salami,1,0,0,0,0,0,0,0,0
162,Chunky Chicken Salad,1,0,0,0,0,0,0,0,0
163,Tuna Salad,1,0,0,0,0,0,0,0,0
164,Grilled Chicken Breast,1,0,0,0,0,0,0,0,0
165,Sliced Red Onion,1,0,0,0,0,0,0,0,0
166,Heirloom Tomatoes,1,0,0,0,0,0,0,0,0
167,Sliced Yellow American Cheese,1,0,0,0,0,0,0,0,0
168,Sliced Pepper Jack Cheese,1,0,0,0,0,0,0,0,0
169,Swiss Cheese,1,0,0,0,0,0,0,0,0
170,Sliced Cheddar Cheese,1,0,0,0,0,0,0,0,0
171,Black Olives,1,0,0,0,0,0,0,0,0
172,Lettuce,1,0,0,0,0,0,0,0,0
173,Sliced Dill Pickles ,1,0,0,0,0,0,0,0,0
174,Banana Peppers,1,0,0,0,0,0,0,0,0
175,Jalapeno Peppers,1,0,0,0,0,0,0,0,0
176,Honey Chipotle Sauce,1,0,0,0,0,0,0,0,0
177,Sriracha Mayonnaise,1,0,0,0,0,0,0,0,0
178,Chipotle Mayonnaise,1,0,0,0,0,0,0,0,0
179,Mayonnaise,1,0,0,0,0,0,0,0,0
180,Yellow Mustard,1,0,0,0,0,0,0,0,0
181,Spicy Brown Mustard,1,0,0,0,0,0,0,0,0
182,Oil and Vinegar,1,0,0,0,0,0,0,0,0
183,Nut-Free Pesto Sauce,1,0,0,0,0,0,0,0,0
184,Strawberries,1,0,0,0,0,0,0,0,0
185,Lite Italian Dressing,1,0,0,0,0,0,0,0,0
186,Thousand Island Dressing,1,0,0,0,0,0,0,0,0
187,Kidney Beans,1,0,0,0,0,0,0,0,0
188,Low Fat Cottage Cheese,1,0,0,0,0,0,0,0,0
189,Diced Chicken,1,0,0,0,0,0,0,0,0
190,Vanilla Yogurt,1,0,0,0,0,0,0,0,0
191,Oil and Vinegar,1,0,0,0,0,0,0,0,0
192,Strawberry Yogurt,1,0,0,0,0,0,0,0,0
193,Applesauce,1,0,0,0,0,0,0,0,0
194,Kiwi,1,0,0,0,0,0,0,0,0
195,Blueberries,1,0,0,0,0,0,0,0,0
196,Strawberries,1,0,0,0,0,0,0,0,0
197,Grapes,1,0,0,0,0,0,0,0,0
198,Pineapple,1,0,0,0,0,0,0,0,0
199,Honey Dew,1,0,0,0,0,0,0,0,0
200,Cantaloupe,1,0,0,0,0,0,0,0,0
201,Raisins,1,0,0,0,0,0,0,0,0
202,Hummus,1,0,0,0,0,0,0,0,0
203,Feta Cheese,1,0,0,0,0,0,0,0,0
204,Cheddar Cheese,1,0,0,0,0,0,0,0,0
205,Diced Tofu,1,0,0,0,0,0,0,0,0
206,Quinoa,1,0,0,0,0,0,0,0,0
207,Black Beans,1,0,0,0,0,0,0,0,0
208,Garbanzo Beans,1,0,0,0,0,0,0,0,0
209,Hard Boiled Eggs,1,0,0,0,0,0,0,0,0
210,Bacon Bits,1,0,0,0,0,0,0,0,0
211,Green Peppers,1,0,0,0,0,0,0,0,0
212,Beets,1,0,0,0,0,0,0,0,0
213,Sliced Red Onion,1,0,0,0,0,0,0,0,0
214,Shredded Carrots,1,0,0,0,0,0,0,0,0
215,Sliced Cucumber,1,0,0,0,0,0,0,0,0
216,Grape Tomatoes,1,0,0,0,0,0,0,0,0
217,Black Olives,1,0,0,0,0,0,0,0,0
218,Spring Salad Mix,1,0,0,0,0,0,0,0,0
219,Baby Spinach,1,0,0,0,0,0,0,0,0
220,Iceberg Lettuce,1,0,0,0,0,0,0,0,0
221,Croutons,1,0,0,0,0,0,0,0,0
222,Sunflower Seeds,1,0,0,0,0,0,0,0,0
223,Craisins,1,0,0,0,0,0,0,0,0
224,Ranch Dressing,1,0,0,0,0,0,0,0,0
225,Fat-Free Italian Dressing,1,0,0,0,0,0,0,0,0
226,Fat-Free French Dressing,1,0,0,0,0,0,0,0,0
227,Balsamic Vinaigrette,1,0,0,0,0,0,0,0,0
228,Honey Mustard Dressing,1,0,0,0,0,0,0,0,0
229,Blue Cheese Dressing,1,0,0,0,0,0,0,0,0
230,Caesar Dressing,1,0,0,0,0,0,0,0,0
231,Schar Ciabatta Roll,1,0,0,0,0,0,0,0,0
232,JP's Brownie,1,0,0,0,0,0,0,0,0
233,JP's GF Hawaiian Rolls,1,0,0,0,0,0,0,0,0
234,JP's GF Vegan Chocolate Cupcake,1,0,0,0,0,0,0,0,0
235,JP's Gluten-Free Blueberry Muffins,1,0,0,0,0,0,0,0,0
236,JP's Key Lime Cheesecake Bar,1,0,0,0,0,0,0,0,0
237,Katz Powdered Donut Holes,1,0,0,0,0,0,0,0,0
